CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate,auc
cg26371061,0.334831473,0.533190655,13.59166095,1.59e-36,2.92e-34,71.84861016,0.228469925,0.563301399,0.334831473,5,71014857,F,I,CARTPT,TSS200,shore,TSS200-shore,chr5:71014917-71015715,,,,,,0.37668732434969987,hyper,0.37,0.9076576576576577,0.8972972972972972,0.9033614627285512
cg24980893,0.333967053,0.364550271,11.127356,4.22e-26,1.4599999999999999e-24,47.99804595,0.060616226,0.39458328,0.333967053,7,116164709,R,I,CAV1,TSS200,island,TSS200-island,chr7:116164703-116166735,True,,,,,0.3608578357873303,hyper,0.13,0.9059633027522936,0.9130434782608696,0.9330942334739802
cg23824801,0.407337391,0.68134254,16.29264661,4.61e-49,9.79e-46,100.5868579,0.31063621,0.717973601,0.407337391,12,54653403,F,II,CBX5,TSS200,opensea,TSS200-opensea,,True,,,,,0.5181112681942329,hyper,0.46,0.9348066298342541,0.9375,0.9178199718706047
cg03576469,0.472785931,0.621988236,17.08321076,6.84e-53,3.18e-49,109.3694999,0.191719025,0.664504956,0.472785931,19,46917061,F,II,CCDC8,TSS200,shore,TSS200-shore,chr19:46915311-46915802,True,,,,,0.5273387462257038,hyper,0.38,0.93687707641196,0.9263157894736842,0.9193389592123768
cg21821833,0.326793671,0.473908063,11.17180338,2.8e-26,9.98e-25,48.40300739,0.176502313,0.503295984,0.326793671,3,42306493,F,I,CCK,TSS200,island,TSS200-island,chr3:42306149-42307520,,,,,,0.3971104590734304,hyper,0.18,0.9337748344370861,0.97,0.90915611814346
cg10777851,0.311821295,0.453760494,9.452899607,9.17e-20,1.49e-18,33.53693684,0.169980683,0.481801978,0.311821295,3,112051808,F,II,CD200,TSS200,shore,TSS200-shore,chr3:112051893-112052406,,,,,,0.36873797012918025,hyper,0.18,0.8979591836734694,0.9032258064516129,0.8864838255977497
cg19966212,0.316351977,0.520994579,12.07220882,5.8399999999999995e-30,3.56e-28,56.81889493,0.233091521,0.549443498,0.316351977,5,149792783,R,I,CD74,TSS1500,opensea,TSS1500-opensea,,,,,,,0.3933086421413871,hyper,0.3,0.9303867403314917,0.922279792746114,0.9094796061884669
cg22222281,0.33983537,0.558712542,13.26503496,4.43e-35,6.35e-33,68.53797419,0.249437907,0.589273277,0.33983537,12,6308758,R,I,CD9,TSS1500,shore,TSS1500-shore,chr12:6309152-6310392,True,True,,,,0.420727033445518,hyper,0.32,0.93141592920354,0.9375,0.9136568213783404
cg24331301,0.407409344,0.519334801,16.65709554,8.05e-51,2.46e-47,104.6185183,0.148562988,0.555972332,0.407409344,10,73156377,F,I,CDH23,TSS1500,island,TSS1500-island,chr10:73156164-73157954,True,,high-CpG:72826209-72826722,,,0.4961917299567122,hyper,0.27,0.9531079607415485,0.9644670050761421,0.9232208157524614
cg23180938,0.327648301,0.399769014,10.47450596,1.4999999999999997e-23,3.73e-22,42.17086465,0.101585489,0.42923379,0.327648301,5,115152485,F,I,CDO1,TSS200,island,TSS200-island,chr5:115151348-115152713,True,,,,,0.35767226987499845,hyper,0.16,0.8803716608594658,0.9032258064516129,0.849817158931083
cg07984133,0.32818681,0.503063488,12.60737789,3.17e-32,2.78e-30,62.00133624,0.20438988,0.53257669,0.32818681,13,28544592,R,I,CDX2,TSS1500,island,TSS1500-island,chr13:28544524-28544890,,,,,,0.39482117974735054,hyper,0.24,0.9357997823721437,0.9381443298969071,0.8955555555555554
cg00735923,0.403022924,0.63903779,14.32860487,7.54e-40,2.5800000000000002e-37,79.46219153,0.272257935,0.675280859,0.403022924,7,117119963,R,II,CFTR,TSS200,opensea,TSS200-opensea,,,,low-CpG:116906174-116907321,,,0.4541988245413539,hyper,0.37,0.9337676438653637,0.9435897435897437,0.8763009845288325
cg10421979,0.319157011,0.445653617,11.33378175,6.28e-27,2.44e-25,49.88738862,0.155197776,0.474354788,0.319157011,17,48546321,F,I,CHAD,TSS200,island,TSS200-island,chr17:48545570-48546900,,True,,,,0.374844940181943,hyper,0.23,0.8993288590604026,0.9333333333333333,0.8515611814345991
cg08199758,0.347022041,0.610648004,15.65052242,5.3299999999999996e-46,6.11e-43,93.56174244,0.294832981,0.641855022,0.347022041,16,3062426,R,I,CLDN9,TSS200,shore,TSS200-shore,chr16:3063679-3063981,,,,,,0.40420178666184936,hyper,0.41,0.9380530973451328,0.9319371727748691,0.9473980309423347
cg16626067,0.31930068,0.555572984,13.54167385,2.65e-36,4.6799999999999996e-34,71.33930716,0.264986394,0.584287074,0.31930068,16,66613266,R,I,CMTM2,TSS200,island,TSS200-island,chr16:66612749-66613412,,,,,,0.35458112519033586,hyper,0.37,0.9123196448390677,0.9005235602094239,0.879142053445851
cg18344652,0.345762126,0.543845776,10.25759023,1e-22,2.2700000000000004e-21,40.28662087,0.229177366,0.574939492,0.345762126,1,95393096,F,I,CNN3,TSS1500,island,TSS1500-island,chr1:95391837-95393116,,,,,,0.4304471262213544,hyper,0.26,0.8817451205510907,0.8913043478260869,0.8476933895921238
cg10765212,0.3603698,0.597964494,13.22577223,6.59e-35,9.180000000000001e-33,68.14279806,0.27000205,0.63037185,0.3603698,2,190044638,R,II,COL5A2,TSS200,opensea,TSS200-opensea,,,,,,,0.42116689281056036,hyper,0.41,0.9053591790193842,0.8729281767955802,0.9059353023909986
cg14957943,0.356267633,0.495507703,10.66517903,2.76e-24,7.55e-23,43.84889549,0.171278526,0.527546159,0.356267633,3,48632783,F,II,COL7A1,TSS200,island,TSS200-island,chr3:48631882-48632901,,True,high-CpG:48607725-48607801,,,0.36909890775140014,hyper,0.2,0.9070294784580499,0.9148936170212766,0.8902812939521801
cg02032778,0.409746377,0.530437612,10.80665716,7.77e-25,2.2799999999999997e-23,45.10686626,0.157538931,0.567285308,0.409746377,7,29186228,F,II,CPVL,TSS200,opensea,TSS200-opensea,,,True,,rs245880,,0.4208127358925469,hyper,0.2,0.9066059225512528,0.8901098901098902,0.8723347398030942
cg18618429,0.296534775,0.609451257,12.18616518,1.9499999999999998e-30,1.2799999999999999e-28,57.91163438,0.339583278,0.636118053,0.296534775,3,122043865,F,II,CSTA,TSS200,opensea,TSS200-opensea,,,,,rs73186057,,0.36132138615213427,hyper,0.42,0.9154453213077791,0.8852459016393442,0.8906751054852321
cg20427865,0.333004354,0.731548142,15.8062114,9.73e-47,1.29e-43,95.25537359,0.428490223,0.761494577,0.333004354,16,57406353,F,II,CX3CL1,TSS200,opensea,TSS200-opensea,,,True,,rs2301772,,0.3740771159225468,hyper,0.5,0.9280177187153931,0.9032258064516129,0.9145007032348804
cg02029926,0.399465749,0.567971628,13.04010163,4.2799999999999995e-34,5.200000000000001e-32,66.28235253,0.204429058,0.603894807,0.399465749,4,74734874,F,II,CXCL1,TSS1500,shore,TSS1500-shore,chr4:74734918-74735544,,,,,,0.4331932224992195,hyper,0.31,0.9220489977728284,0.9148936170212766,0.900351617440225
cg16281276,0.324481693,0.505326548,12.1930612,1.82e-30,1.1999999999999999e-28,57.97795166,0.210024863,0.534506556,0.324481693,11,7695528,R,I,CYB5R2,TSS1500,island,TSS1500-island,chr11:7694711-7695685,True,,,,,0.3687033240984627,hyper,0.36,0.8778801843317973,0.8804347826086957,0.8738818565400843
cg08843517,0.452742099,0.626869579,17.99178091,2.33e-57,2.58e-53,119.6184941,0.214841698,0.667583797,0.452742099,16,88717464,F,I,CYBA,TSS200,island,TSS200-island,chr16:88716989-88717606,,,high-CpG:87244919-87245004,rs72550704,,0.5988799796901162,hyper,0.29,0.9614561027837261,0.9644670050761421,0.9244444444444444
cg13570656,0.316443461,0.546750995,12.98484968,7.45e-34,8.670000000000001e-32,65.73140517,0.25876468,0.57520814,0.316443461,15,75019196,F,I,CYP1A1,TSS1500,island,TSS1500-island,chr15:75018186-75019336,,,,,,0.39089466702825754,hyper,0.33,0.9336283185840707,0.9381443298969071,0.920407876230661
cg06145435,0.307263313,0.613015354,14.24019394,1.91e-39,6.04e-37,78.53876428,0.333383635,0.640646947,0.307263313,7,1022769,R,I,CYP2W1,TSS200,shore,TSS200-shore,chr7:1024021-1024233,,,,,rs71538131,0.3807334027055329,hyper,0.45,0.9348066298342541,0.9263157894736842,0.9096061884669479
cg20303028,0.335238429,0.54742272,13.02067818,5.2e-34,6.230000000000001e-32,66.08852898,0.242331632,0.577570061,0.335238429,2,74607507,F,II,DCTN1,TSS200,opensea,TSS200-opensea,,True,True,,rs13411165,,0.35649289498963704,hyper,0.35,0.9285714285714286,0.9312169312169312,0.9221237693389591
cg05106294,0.283629173,0.47117104,10.06809034,5.18e-22,1.08e-20,38.66254728,0.213048088,0.496677261,0.283629173,11,12031097,F,I,DKK3,TSS1500,shore,TSS1500-shore,chr11:12029737-12030841,True,,,,,0.36623260886848996,hyper,0.26,0.8893956670467504,0.9333333333333333,0.8653023909985935
cg12708994,0.347840609,0.694026346,15.00249496,5.89e-43,3.72e-40,86.58422403,0.377466367,0.725306976,0.347840609,6,116691460,R,II,DSE,TSS1500,shore,TSS1500-shore,chr6:116691827-116692868,,,,,,0.4126687818218407,hyper,0.47,0.9397590361445783,0.9424083769633509,0.9276090014064697
cg13605988,0.328538597,0.431873992,10.32228575,5.72e-23,1.3300000000000001e-21,40.84580994,0.132880233,0.46141883,0.328538597,15,45421612,F,II,DUOX1,TSS1500,island,TSS1500-island,chr15:45421236-45422394,,True,,,,0.3624239360798368,hyper,0.14,0.9315673289183223,0.9430051813471503,0.8902250351617439
cg05385513,0.476907781,0.636862006,16.81552447,1.37e-51,5.1099999999999995e-48,106.3804127,0.202841615,0.679749396,0.476907781,2,56150478,F,II,EFEMP1,TSS200,island,TSS200-island,chr2:56150340-56151180,True,,,,,0.532756375860538,hyper,0.31,0.95,0.9375,0.9262025316455696
cg18844382,0.4102668,0.533370037,17.88650517,7.740000000000001e-57,7.67e-53,118.42338,0.159997734,0.570264534,0.4102668,14,23834977,F,I,EFS,TSS200,island,TSS200-island,chr14:23834435-23835947,,,high-CpG:22904163-22905667,,,0.5135459757728327,hyper,0.34,0.9419496166484118,0.9375,0.9214064697609
cg06998282,0.439576248,0.616741948,14.37429433,4.6599999999999995e-40,1.6700000000000001e-37,79.94043379,0.216695938,0.656272186,0.439576248,8,120651398,F,II,ENPP2,TSS1500,opensea,TSS1500-opensea,,True,True,,,,0.48337500424935353,hyper,0.35,0.9265033407572383,0.9375,0.9119409282700423
cg26010734,0.362555491,0.551673325,12.88010495,2.1200000000000002e-33,2.28e-31,64.69037372,0.221721746,0.584277236,0.362555491,19,15344046,R,I,EPHX3,TSS200,shore,TSS200-shore,chr19:15344091-15344419,True,,,,,0.4804875009017324,hyper,0.3,0.9247787610619469,0.9166666666666666,0.899254571026723
cg22125968,0.327247942,0.445767894,11.23182431,1.61e-26,5.93e-25,48.95147746,0.147948725,0.475196666,0.327247942,13,43566472,F,I,EPSTI1,TSS200,island,TSS200-island,chr13:43566074-43566508,True,True,,rs3809358,,0.37685149600589224,hyper,0.28,0.8777648428405121,0.8972972972972972,0.879507735583685
cg20787173,0.398757684,0.541145196,14.53223371,8.81e-41,3.65e-38,81.59894002,0.178247016,0.5770047,0.398757684,6,133562475,F,I,EYA4,TSS200,island,TSS200-island,chr6:133562086-133563586,True,,,,,0.49911191584156944,hyper,0.2,0.9429824561403509,0.9430051813471503,0.9158087201125175
cg06947913,0.381894179,0.489870477,13.32328342,2.45e-35,3.7e-33,69.12535565,0.1423193,0.524213479,0.381894179,12,50297793,R,I,FAIM2,TSS200,island,TSS200-island,chr12:50297580-50297988,True,True,,,,0.5090111034141852,hyper,0.21,0.9265033407572383,0.9375,0.900787623066104
cg27223047,0.398303501,0.62881197,14.07058172,1.1199999999999999e-38,3.09e-36,76.77467879,0.266327129,0.66463063,0.398303501,5,127874825,F,II,FBN2,TSS1500,island,TSS1500-island,chr5:127872563-127874945,,,,rs55770077,,0.4581581697011305,hyper,0.27,0.9559613319011814,0.9591836734693877,0.9189873417721519
cg06244497,0.429319861,0.526680156,14.54416643,7.77e-41,3.26e-38,81.72457577,0.135968196,0.565288057,0.429319861,19,39466575,F,II,FBXO17,TSS200,shore,TSS200-shore,chr19:39465846-39466403,,True,,,,0.4323446233300567,hyper,0.25,0.9405286343612335,0.9375,0.9184810126582279
cg09397246,0.31744342,0.507928371,12.79834149,4.79e-33,4.820000000000001e-31,63.88090839,0.219032021,0.536475441,0.31744342,15,91427361,F,I,FES,TSS1500,shore,TSS1500-shore,chr15:91427540-91427905,True,,,,,0.3764037361524387,hyper,0.34,0.9175141242937853,0.9021739130434783,0.9144444444444444
cg25563256,0.295332314,0.560723794,12.5454437,5.84e-32,4.91e-30,61.39509866,0.291950142,0.587282456,0.295332314,17,7341641,F,I,FGF11,TSS1500,shore,TSS1500-shore,chr17:7342829-7344028,,,,,,0.3619755501796523,hyper,0.47,0.9078498293515358,0.8913043478260869,0.8829535864978902
cg25209842,0.330348692,0.415081959,11.87803861,3.7600000000000003e-29,2.0200000000000002e-27,54.97084877,0.114440884,0.444789576,0.330348692,10,103536342,F,I,FGF8,TSS1500,island,TSS1500-island,chr10:103535636-103536505,,,,,,0.38608393289976994,hyper,0.11,0.9489685124864278,0.9696969696969697,0.910239099859353
cg23083315,0.377832241,0.431588919,12.40291151,2.36e-31,1.7900000000000001e-29,60.00628627,0.087734398,0.465566638,0.377832241,11,35639656,R,I,FJX1,TSS200,island,TSS200-island,chr11:35639629-35641485,,,,,,0.42809271502936014,hyper,0.22,0.9070034443168771,0.9312169312169312,0.9319268635724333
cg13804182,0.373157942,0.437508435,12.2508265,1.04e-30,7.15e-29,58.53431391,0.097907862,0.471065804,0.373157942,6,30711796,R,II,FLOT1,TSS1500,island,TSS1500-island,chr6:30710307-30712440,,,,,,0.38242864900658224,hyper,0.13,0.9384615384615385,0.9430051813471503,0.910773558368495
cg01537995,0.357525675,0.514206711,14.4085718,3.25e-40,1.2000000000000002e-37,80.2996803,0.188832626,0.546358301,0.357525675,14,85996352,F,II,FLRT2,TSS200,shore,TSS200-shore,chr14:85996494-85996958,,,high-CpG:85066099-85066447,,,0.3532786312551783,hyper,0.23,0.9522776572668112,0.9484536082474226,0.9125316455696203
cg25078444,0.337232321,0.538213234,11.74510721,1.33e-28,6.6e-27,53.71592476,0.231307561,0.568539881,0.337232321,14,29235193,F,I,FOXG1,TSS1500,island,TSS1500-island,chr14:29234889-29235908,,True,,,,0.41506992274594595,hyper,0.28,0.9240924092409241,0.9435897435897437,0.8831223628691983
cg14000361,0.40298381,0.612182869,15.35752576,1.29e-44,1.1099999999999999e-41,90.39220909,0.24543861,0.648422421,0.40298381,6,10882336,F,I,GCM2,TSS1500,shore,TSS1500-shore,chr6:10882926-10883149,,,,,,0.5131633164589109,hyper,0.44,0.9194630872483222,0.9319371727748691,0.9063431786216597
cg12242450,0.340823403,0.574954309,12.83063191,3.48e-33,3.59e-31,64.20025282,0.264780492,0.605603895,0.340823403,6,10555808,R,II,GCNT2,TSS200,opensea,TSS200-opensea,,,True,,rs55851629,rs55674664,0.38343204628012595,hyper,0.32,0.9333333333333333,0.9278350515463918,0.8844022503516175
cg09350274,0.348394991,0.436015887,8.564934676,1.07e-16,1.27e-15,26.55766844,0.118951381,0.467346372,0.348394991,5,137610396,F,II,GFRA3,TSS200,shore,TSS200-shore,chr5:137610105-137610311,,True,,,,0.4009523291038791,hyper,0.21,0.8513189448441247,0.8826815642458101,0.8577777777777776
cg12080909,0.322670239,0.68829954,14.03797076,1.58e-38,4.23e-36,76.43664424,0.394646409,0.717316647,0.322670239,17,27917982,R,II,GIT1,TSS1500,shore,TSS1500-shore,chr17:27918161-27918398,,True,,,,0.371827600381886,hyper,0.48,0.9223946784922396,0.9100529100529101,0.900900140646976
cg11521404,0.340885981,0.450570467,11.35892389,4.9800000000000004e-27,1.96e-25,50.11899076,0.1403397,0.481225681,0.340885981,13,20735532,R,I,GJA3,TSS1500,island,TSS1500-island,chr13:20735043-20736157,True,,,,,0.37538448725529583,hyper,0.28,0.8486293206197855,0.8924731182795699,0.8667369901547116
cg25726664,0.370800239,0.535559751,13.62479966,1.13e-36,2.1399999999999997e-34,72.1867671,0.198104858,0.568905096,0.370800239,7,42277807,F,I,GLI3,TSS1500,island,TSS1500-island,chr7:42276003-42277850,,,,,,0.4681856889246409,hyper,0.27,0.9358407079646018,0.9484536082474226,0.9276511954992968
cg18145505,0.325749266,0.587304465,11.49301207,1.43e-27,6.08e-26,51.35953925,0.290849198,0.616598464,0.325749266,15,33009498,R,II,GREM1,TSS1500,shore,TSS1500-shore,chr15:33009530-33011696,True,,,,,0.35521697885470005,hyper,0.32,0.9296703296703297,0.9326424870466321,0.8928691983122363
cg14616251,0.40401107,0.581737678,14.91609077,1.49e-42,8.53e-40,85.66310999,0.214058538,0.618069609,0.40401107,1,24648696,R,II,GRHL3,TSS1500,island,TSS1500-island,chr1:24648202-24648985,True,,,,,0.40164311951633447,hyper,0.34,0.9158249158249159,0.9090909090909092,0.8963291139240506
cg02659086,0.298445963,0.375330651,12.17142601,2.24e-30,1.46e-28,57.76996403,0.103723353,0.402169316,0.298445963,11,67350976,R,I,GSTP1,TSS200,island,TSS200-island,chr11:67350928-67351953,True,,,,,0.36009948388309215,hyper,0.12,0.9396267837541162,0.9591836734693877,0.909085794655415
cg13506653,0.370669118,0.478476884,9.47508617,7.64e-20,1.25e-18,33.71778261,0.141141319,0.511810437,0.370669118,4,54965863,F,I,GSX2,TSS1500,shore,TSS1500-shore,chr4:54966163-54968063,True,,,,,0.4857986101935541,hyper,0.14,0.8997722095671982,0.9139784946236558,0.8832067510548521
cg08421126,0.391410063,0.58952271,10.9789372,1.64e-25,5.2299999999999995e-24,46.65325629,0.233311394,0.624721457,0.391410063,2,43019854,R,II,HAAO,TSS200,island,TSS200-island,chr2:43019665-43020509,,,high-CpG:42873185-42873845,,,0.4496965605749328,hyper,0.25,0.9062146892655367,0.9206349206349206,0.8642194092827005
cg09827752,0.347741087,0.563488321,12.5895171,3.79e-32,3.28e-30,61.82633729,0.247018914,0.594760001,0.347741087,1,2461823,F,I,HES5,TSS200,island,TSS200-island,chr1:2460760-2462010,,,,,,0.4527102623272867,hyper,0.44,0.9156355455568053,0.9148936170212766,0.8840365682137833
cg14117138,0.487159328,0.627808756,17.53042025,4.41e-55,2.91e-51,114.3952207,0.184458719,0.671618048,0.487159328,19,46800085,R,I,HIF3A,TSS1500,island,TSS1500-island,chr19:46800053-46800603,True,,,,,0.626790710697496,hyper,0.34,0.9544468546637744,0.9591836734693877,0.9310970464135021
cg05471296,0.392469484,0.510173775,12.56409431,4.8600000000000004e-32,4.13e-30,61.5774839,0.15299831,0.545467793,0.392469484,7,27196302,F,II,HOXA7,TSS200,island,TSS200-island,chr7:27195601-27196567,True,,high-CpG:27162728-27162853,,,0.40423614773911437,hyper,0.22,0.9372937293729372,0.9430051813471503,0.9055274261603375
cg03132556,0.31981855,0.571796851,11.68207314,2.41e-28,1.15e-26,53.12382471,0.280738962,0.600557512,0.31981855,12,54366760,F,II,HOXC11,TSS200,shore,TSS200-shore,chr12:54366815-54369103,,,,,,0.369956383831996,hyper,0.36,0.8982857142857144,0.9148936170212766,0.8956258790436006
cg06714180,0.37712752,0.482856688,12.45570572,1.41e-31,1.1100000000000001e-29,60.51966561,0.139643514,0.516771034,0.37712752,12,54409525,F,II,HOXC4,TSS1500,shore,TSS1500-shore,chr12:54408426-54408713,,,,,,0.40447411081526613,hyper,0.17,0.9387308533916849,0.9214659685863875,0.9288185654008438
cg14993276,0.332903702,0.463436002,12.91541228,1.4900000000000001e-33,1.6500000000000002e-31,65.0407789,0.160469683,0.493373385,0.332903702,19,10397642,R,I,ICAM4,TSS200,island,TSS200-island,chr19:10397603-10398703,True,True,,,,0.4109206141924193,hyper,0.21,0.9374313940724478,0.9375,0.9204922644163149
cg22212414,0.359114589,0.430043184,10.5047201,1.1499999999999999e-23,2.9e-22,42.43542202,0.103223072,0.462337661,0.359114589,21,34775032,F,I,IFNGR2,TSS200,shore,TSS200-shore,chr21:34775437-34776493,True,,high-CpG:33696828-33697793,,,0.42772481824526604,hyper,0.13,0.9092970521541951,0.9270833333333334,0.9120534458509142
